C:\Users\nagak\AppData\Local\Temp\RenderDoc\sample_app_2026.04.18_05.06.10_frame237.rdc - Frame #237

 EID  | Event                                                             | Action # | Duration (Microseconds)
6571  |   - DrawIndexedInstanced(62016, 1)                                | 121    | 5.184
6581  |   - DrawIndexedInstanced(16011, 1)                                | 122    | 2.944
6591  |   - DrawIndexedInstanced(79191, 1)                                | 123    | 5.792
6601  |   - DrawIndexedInstanced(48768, 1)                                | 124    | 4.192
6611  |   - DrawIndexedInstanced(402666, 1)                               | 125    | 12.224
6621  |   - DrawIndexedInstanced(63894, 1)                                | 126    | 7.904
6631  |   - DrawIndexedInstanced(160242, 1)                               | 127    | 15.232
6641  |   - DrawIndexedInstanced(109371, 1)                               | 128    | 6.912
6651  |   - DrawIndexedInstanced(492, 1)                                  | 129    | 3.616
6661  |   - DrawIndexedInstanced(1068, 1)                                 | 130    | 4.16
6671  |   - DrawIndexedInstanced(473655, 1)                               | 131    | 31.168
6681  |   - DrawIndexedInstanced(68313, 1)                                | 132    | 6.432
6691  |   - DrawIndexedInstanced(624, 1)                                  | 133    | 2.304
6701  |   - DrawIndexedInstanced(2856, 1)                                 | 134    | 5.664
6711  |   - DrawIndexedInstanced(780, 1)                                  | 135    | 4.096
6721  |   - DrawIndexedInstanced(228, 1)                                  | 136    | 3.04
6731  |   - DrawIndexedInstanced(240, 1)                                  | 137    | 4.864
6741  |   - DrawIndexedInstanced(2856, 1)                                 | 138    | 2.656
6751  |   - DrawIndexedInstanced(780, 1)                                  | 139    | 2.304
6761  |   - DrawIndexedInstanced(228, 1)                                  | 140    | 2.752
6771  |   - DrawIndexedInstanced(240, 1)                                  | 141    | 2.848
6781  |   - DrawIndexedInstanced(2856, 1)                                 | 142    | 3.20
6791  |   - DrawIndexedInstanced(780, 1)                                  | 143    | 2.72
6801  |   - DrawIndexedInstanced(228, 1)                                  | 144    | 2.40
6811  |   - DrawIndexedInstanced(240, 1)                                  | 145    | 2.112
6821  |   - DrawIndexedInstanced(2856, 1)                                 | 146    | 1.888
6831  |   - DrawIndexedInstanced(780, 1)                                  | 147    | 2.816
6841  |   - DrawIndexedInstanced(228, 1)                                  | 148    | 2.56
6851  |   - DrawIndexedInstanced(240, 1)                                  | 149    | 2.816
6861  |   - DrawIndexedInstanced(2856, 1)                                 | 150    | 3.552
6871  |   - DrawIndexedInstanced(780, 1)                                  | 151    | 3.872
6881  |   - DrawIndexedInstanced(228, 1)                                  | 152    | 3.136
